Decimal_Year,Index
2016.9890710382513,2249.92
2016.9918032786886,2249.26
2016.9945355191257,2238.83
2017.0054794520547,2257.83
2017.0082191780823,2270.75
2017.0109589041097,2269.0
2017.013698630137,2276.98
2017.021917808219,2268.9
2017.0246575342467,2268.9
2017.027397260274,2275.32
2017.0301369863014,2270.44
2017.0328767123287,2274.64
2017.0438356164384,2267.89
2017.0465753424658,2271.89
2017.0493150684931,2263.69
2017.0520547945205,2271.31
2017.0602739726028,2265.2
2017.0630136986301,2280.07
2017.0657534246575,2298.37
2017.0684931506848,2296.68
2017.0712328767124,2294.69
2017.0794520547945,2280.9
2017.0821917808219,2278.87
2017.0849315068492,2279.55
2017.0876712328768,2280.85
2017.0904109589042,2297.42
2017.0986301369862,2292.56
2017.1013698630136,2293.08
2017.1041095890412,2294.67
2017.1068493150685,2307.87
2017.109589041096,2316.1
2017.1178082191782,2328.25
2017.1205479452055,2337.58
2017.123287671233,2349.25
2017.1260273972603,2347.22
2017.1287671232876,2351.16
2017.1397260273973,2365.38
2017.1424657534246,2362.82
2017.145205479452,2363.81
2017.1479452054793,2367.34
2017.1561643835616,2369.75
2017.158904109589,2363.64
2017.1616438356164,2395.96
2017.164383561644,2381.92
2017.1671232876713,2383.12
2017.1753424657534,2375.31
2017.1780821917807,2368.39
2017.1808219178083,2362.98
2017.1835616438357,2364.87
2017.186301369863,2372.6
2017.194520547945,2373.47
2017.1972602739727,2365.45
2017.2,2385.26
2017.2027397260274,2381.38
2017.2054794520548,2378.25
2017.213698630137,2373.47
2017.2164383561644,2344.02
2017.2191780821918,2348.45
2017.2219178082191,2345.96
2017.2246575342465,2343.98
2017.2328767123288,2341.59
2017.2356164383561,2358.57
2017.2383561643835,2361.13
2017.2410958904109,2368.06
2017.2438356164384,2362.72
2017.2520547945205,2358.84
2017.2547945205479,2360.16
2017.2575342465752,2352.95
